"","Age_2","Age_3","Age_4","Age_5","Age_6","Age_7","Age_8","Age_9","Age_10","Age_11","Year","Model"
"1",1.05175766641361,-0.0179891579712308,0.0282074048659329,-0.0709252272131966,0.0147147601751243,0.0310481917352714,0.0372608501466214,-0.0395932664121865,0.0211734576164861,-0.0281168101812916,1979,"Base_North"
"2",-0.0789411042064287,0.0675951276493016,0.00426100552069286,-0.0452805039365085,0.0011227378133043,0.031842980355087,0.028386412509823,0.0036757923419497,-0.0552322387706283,-0.00372681306406619,1980,"Base_North"
"3",0.173237736034483,0.0151487003886093,-0.0125709466024038,0.060717884460022,-0.0677503274281595,0.00218954853135855,0.00441723626884993,0.0179474504751207,0.00621353407476555,0.000060200186547732,1981,"Base_North"
"4",0.468965292147562,0.135925644325823,-0.0559577464015657,-0.0386706831720858,0.0276301618022625,-0.0379223305847933,-0.00152583988342059,-0.00647485119803282,0.00437287996968472,-0.00991768013662409,1982,"Base_North"
"5",-0.266511231747161,0.028556281696579,0.0691725403099426,-0.0333130655912584,-0.0421208585709323,0.0154685294809216,-0.000692692734645561,0.00606030941231595,0.00159969791784764,0.00455154538057378,1983,"Base_North"
"6",-0.235295049968416,-0.0341077863620107,-0.00693386053112377,0.00474707773759953,0.0675173080583349,-0.0264887087090884,0.0194950425618128,0.0111998749166435,0.0102441523651287,-0.000142591507296785,1984,"Base_North"
"7",0.00424673166104839,-0.00873500984160991,-0.049476752841878,-0.027578219322292,0.0134725669827382,0.0609262053530699,0.00185064595488704,0.0233487641270855,0.0121310071066443,0.00496979152758037,1985,"Base_North"
"8",-0.114619540854619,0.0239474139107454,-0.0213623997344019,-0.0495430166425148,0.0064529666567168,0.0388174817830098,0.0374738898398501,-0.0095917308792739,-0.00263180099904226,0.00560449604714996,1986,"Base_North"
"9",-0.211805727476854,0.00796504027940337,0.0255754898774612,-0.021459663121199,0.0129220232062561,0.000589052038295179,-0.0124289172519809,0.0128651667573756,0.009691772877785,-0.00348667428275107,1987,"Base_North"
"10",0.250008871512144,-0.0193488813199476,-0.0185442806571459,0.0647719717183382,0.0326611098268028,0.0308953764128201,-0.0257927194704806,-0.036685588302122,-0.0132421844776083,0.00046820584595153,1988,"Base_North"
"11",0.610149740311055,-0.0306393105851797,-0.0335947718363929,-0.0128477997473748,0.031370812592046,0.0434595601177072,0.0151751143250998,0.00186220237562118,-0.0111526975468177,-0.00821837940292802,1989,"Base_North"
"12",-0.363304201403389,0.0535428074923079,-0.0168275451673434,-0.0382218710035431,-0.00576447405414982,0.0106629325044771,0.0161467782368181,0.0223500339362026,-0.00566475526350452,-0.00923054715346794,1990,"Base_North"
"13",-0.323028780966427,-0.00619234347322184,0.0665691185916089,-0.0197174947916263,0.000903511540391477,0.00243369256481252,-0.0119543595675164,-0.00400016822923455,0.00625433280860754,-0.00549115117643417,1991,"Base_North"
"14",0.165942310087511,-0.0217910385677929,0.0171144615943284,-0.0475399063986526,0.0123717126699212,0.0496803263212051,0.00857578115714475,-0.0186532869549758,-0.00225002334511082,0.010211227397841,1992,"Base_North"
"15",-0.738301933723127,0.0346456169564142,-0.0288205296524069,0.0341185107562296,0.0209457661435195,0.0232314237525806,0.038707818471746,-0.000415617020269821,-0.033343587990414,-0.0503332092716438,1993,"Base_North"
"16",0.152881708568248,-0.0413959860645647,0.0243113832375936,-0.0273984126161935,-0.0246795080712392,0.0174920231422053,0.0278676156777369,0.042624164456539,0.00308775459260602,-0.0227597210812309,1994,"Base_North"
"17",0.119755152460526,0.0414954638734741,0.0117023941220804,-0.0577438861688968,-0.0316979239117057,0.0395243187502938,0.0129253344008724,0.0133880844094669,0.0118417433676861,-0.0425882151370995,1995,"Base_North"
"18",0.225353151200588,0.0144435985063112,0.0674263252066716,0.0318659550996419,-0.0643519918472624,0.00618871568779866,0.0323108285940314,-0.0152569147959056,-0.00246607104030083,-0.0431280817086819,1996,"Base_North"
"19",0.065141219970279,-0.0154610081464579,0.00353681319387888,0.0372006216767158,0.0260305599560429,-0.0164073508356584,0.0124402978729066,0.00985905474616189,-0.0165752575118674,-0.0188394257298814,1997,"Base_North"
"20",-0.118947355516879,0.0263854971335107,-0.0566164074950564,-0.0067783830504311,0.0191526680546481,0.0234285057681198,0.00848521963081872,-0.00062402752180013,-0.0108350075147801,-0.00473125602454338,1998,"Base_North"
"21",-0.222644614425059,0.00763333530969668,0.0230061167095297,-0.0169844175313738,0.0242375693146233,0.00362891350098771,0.0175668498748305,-0.0165377158882833,-0.00844846927441978,-0.0401538524215663,1999,"Base_North"
"22",-0.0143711065808869,-0.00407235882690138,-0.0341848955647155,0.0482594432833388,-0.0315812979124104,-0.00124770584659117,-0.0120427916034558,0.0199749177067492,-0.00201254930737704,-0.0110580323670302,2000,"Base_North"
"23",0.207161977351635,-0.0028086890442296,0.0017464901315325,-0.0291917124774788,0.0014726787389332,-0.0353177778867799,0.0143240001010412,0.0052895060388618,0.00713899146795338,-0.0152861420973842,2001,"Base_North"
"24",0.391423837305343,-0.0693790472672031,-0.0162068262799888,0.0223513303816176,0.00720647785961681,-0.00703761799161029,0.00538377416325098,0.0171383805072036,0.00867712350541261,-0.000980898084016246,2002,"Base_North"
"25",-0.27258087884459,0.00300172232144114,-0.00114682640533204,-0.0300199868238167,-0.0302887628395307,-0.0259906612277359,0.00689512340643539,0.0257415100959886,0.022624727268246,0.0146737105249031,2003,"Base_North"
